2025-08-31 14:48:37.3499 ERROR Error while init PLC driver. Thread was being aborted.
2025-08-31 22:14:37.6362 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:15:10.3792 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:15:43.2759 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:16:16.0857 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:16:49.1996 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:17:22.0711 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:17:54.7874 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:18:27.5969 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:19:00.5779 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:19:33.5226 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:20:07.6692 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:20:40.5518 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:21:13.4957 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:21:46.2674 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:22:19.0756 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:22:51.9147 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:23:24.9152 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:24:01.2288 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:24:44.4665 ERROR Error in PLC background task: Unable to connect to PLC.
2025-08-31 22:25:14.5813 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:25:14.5813 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:25:45.1283 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:25:45.1283 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:26:15.1581 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:26:15.1881 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:26:45.2088 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:26:45.2088 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:27:15.2293 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:27:15.2293 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:27:45.2389 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:27:45.2389 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:28:15.2554 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:28:15.2554 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:28:45.2985 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:28:45.2985 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:29:15.3291 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:29:15.3291 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:29:45.3537 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:29:45.3537 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:30:15.3594 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:30:15.3594 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:30:45.3679 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:30:45.3679 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:31:15.3977 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:31:15.3977 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:31:45.4342 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:31:45.4342 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:32:19.0036 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:32:19.0036 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:32:49.0169 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:32:49.0169 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:33:19.0433 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:33:19.0433 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:33:49.0570 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:33:49.0570 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:34:19.0805 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:34:19.0805 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:34:49.1039 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:34:49.1039 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
2025-08-31 22:35:21.0992 ERROR Error while init PLC driver. IP address must valid.
Parameter name: ip
2025-08-31 22:35:21.1933 ERROR Error in PLC background task: IP address must valid.
Parameter name: ip
